Hosts,Guests,1PHosts,2PHosts,3PHosts,OTHosts,SSHosts,1PGuests,2PGuests,3PGuests,OTGuests,SSGuests,CountHosts,CountGuests
Торонто,Монреаль,1,1,0,1,0,1,1,0,0,0,3,2
Вашингтон,Бостон,2,4,1,0,0,0,0,0,0,0,7,0
Ванкувер,Калгари,1,0,4,0,0,0,0,2,0,0,5,2
Сан-Хосе,Анахайм,1,1,0,0,0,1,1,3,0,0,2,5
Баффало,Бостон,0,0,0,0,0,2,1,1,0,0,0,4
Питтсбург,Вашингтон,2,3,1,1,0,3,1,2,0,0,7,6
Каролина,Айлендерс,0,0,1,0,0,0,1,0,1,0,1,2
Детройт,Коламбус,0,2,0,0,0,1,1,0,1,0,2,3
Оттава,Чикаго,3,0,0,0,0,2,0,1,1,0,3,4
Рейнджерс,Нэшвилл,0,1,1,0,0,0,1,2,0,0,2,3
Сент-Луис,Виннипег,0,0,1,0,0,1,0,4,0,0,1,5
Даллас,Аризона,0,3,0,0,0,0,0,0,0,0,3,0
Колорадо,Миннесота,1,1,2,0,0,1,0,0,0,0,4,1
Вегас,Филадельфия,1,0,1,0,0,2,3,0,0,0,2,5
Коламбус,Каролина,1,0,0,0,0,1,1,1,0,0,1,3
Лос-Анджелес,Сан-Хосе,1,1,0,0,0,2,0,0,1,0,2,3
Нью-Джерси,Эдмонтон,1,2,2,0,0,1,0,1,0,0,5,2
Даллас,Виннипег,2,1,2,0,0,0,1,0,0,0,5,1
Тампа-Бэй,Флорида,0,0,1,0,1,1,0,0,0,0,2,1
Баффало,Рейнджерс,1,1,1,0,0,0,0,1,0,0,3,1
Айлендерс,Нэшвилл,1,2,0,0,0,2,2,0,0,0,3,4
Торонто,Оттава,0,3,0,0,0,1,2,2,0,0,3,5
Питтсбург,Монреаль,0,1,0,0,0,2,2,1,0,0,1,5
Сент-Луис,Чикаго,2,0,2,0,0,1,2,1,1,0,4,5
Миннесота,Вегас,1,0,0,0,0,0,0,1,0,1,1,2
Аризона,Анахайм,0,0,0,0,0,0,1,0,0,0,0,1
Колорадо,Филадельфия,2,1,2,0,0,1,1,0,0,0,5,2
Калгари,Ванкувер,2,1,4,0,0,2,2,0,0,0,7,4
Каролина,Рейнджерс,2,2,4,0,0,2,2,1,0,0,8,5
Чикаго,Торонто,2,1,3,0,0,2,2,2,1,0,6,7
Лос-Анджелес,Детройт,0,2,2,0,0,0,1,1,0,0,4,2
