DataTime,Hosts,Guests,1PHosts,2PHosts,3PHosts,OverHosts,CountHosts,1PGuests,2PGuests,3PGuests,OverGuests,CountGuests
2018-10-04,Торонто,Монреаль,1,1,0,1,3,1,1,0,0,2
2018-10-04,Вашингтон,Бостон,2,4,1,0,7,0,0,0,0,0
2018-10-04,Ванкувер,Калгари,1,0,4,0,5,0,0,2,0,2
2018-10-04,Сан-Хосе,Анахайм,1,1,0,0,2,1,1,3,0,5
2018-10-05,Баффало,Бостон,0,0,0,0,0,2,1,1,0,4
2018-10-05,Питтсбург,Вашингтон,2,3,1,1,7,3,1,2,0,6
2018-10-05,Каролина,Айлендерс,0,0,1,0,1,0,1,0,1,2
2018-10-05,Детройт,Коламбус,0,2,0,0,2,1,1,0,1,3
2018-10-05,Оттава,Чикаго,3,0,0,0,3,2,0,1,1,4
2018-10-05,Рейнджерс,Нэшвилл,0,1,1,0,2,0,1,2,0,3
2018-10-05,Сент-Луис,Виннипег,0,0,1,0,1,1,0,4,0,5
2018-10-05,Даллас,Аризона,0,3,0,0,3,0,0,0,0,0
2018-10-05,Колорадо,Миннесота,1,1,2,0,4,1,0,0,0,1
2018-10-05,Вегас,Филадельфия,1,0,1,0,2,2,3,0,0,5
2018-10-06,Коламбус,Каролина,1,0,0,0,1,1,1,1,0,3
2018-10-06,Лос-Анджелес,Сан-Хосе,1,1,0,0,2,2,0,0,1,3
2018-10-06,Нью-Джерси,Эдмонтон,1,2,2,0,5,1,0,1,0,2
2018-10-07,Даллас,Виннипег,2,1,2,0,5,0,1,0,0,1
2018-10-07,Тампа-Бэй,Флорида,0,0,1,1,2,1,0,0,0,1
2018-10-07,Баффало,Рейнджерс,1,1,1,0,3,0,0,1,0,1
2018-10-07,Айлендерс,Нэшвилл,1,2,0,0,3,2,2,0,0,4
2018-10-07,Торонто,Оттава,0,3,0,0,3,1,2,2,0,5
2018-10-07,Питтсбург,Монреаль,0,1,0,0,1,2,2,1,0,5
2018-10-07,Сент-Луис,Чикаго,2,0,2,0,4,1,2,1,1,5
2018-10-07,Миннесота,Вегас,1,0,0,0,1,0,0,1,1,2
2018-10-07,Аризона,Анахайм,0,0,0,0,0,0,1,0,0,1
2018-10-07,Колорадо,Филадельфия,2,1,2,0,5,1,1,0,0,2
2018-10-07,Калгари,Ванкувер,2,1,4,0,7,2,2,0,0,4
