DataTime,Хозяева,Время Х,Гости,Время Г
04.10.2018,Торонто,12 38 61,Монреаль,9 39
04.10.2018,Вашингтон,1 2 24 26 27 35 50,Бостон,
04.10.2018,Ванкувер,13 41 42 45 59,Калгари,43 48
04.10.2018,Сан-Хосе,7 37,Анахайм,1 38 48 50 59
05.10.2018,Баффало,,Бостон,6 15 36 59
05.10.2018,Питтсбург,1 7 21 35 36 42 61,Вашингтон,3 4 8 23 53 53
05.10.2018,Каролина,58,Айлендерс,29 61
05.10.2018,Детройт,27 36,Коламбус,5 33 62
05.10.2018,Оттава,6 12 16,Чикаго,4 10 52 61
05.10.2018,Рейнджерс,27 59,Нэшвилл,23 43 58
05.10.2018,Сент-Луис,54,Виннипег,4 45 46 47 51
05.10.2018,Даллас,24 24 25,Аризона,
05.10.2018,Колорадо,12 30 58 59,Миннесота,6
05.10.2018,Вегас,6 48,Филадельфия,11 18 22 26 27
06.10.2018,Коламбус,12,Каролина,1 26 45
06.10.2018,Лос-Анджелес,17 21,Сан-Хосе,9 13 62
06.10.2018,Нью-Джерси,1 22 23 45 58,Эдмонтон,4 51
07.10.2018,Даллас,8 11 27 47 52,Виннипег,22
07.10.2018,Тампа-Бэй,50 -1,Флорида,5
07.10.2018,Баффало,13 21 59,Рейнджерс,55
07.10.2018,Айлендерс,12 22 39,Нэшвилл,3 16 33 36
07.10.2018,Торонто,21 22 38,Оттава,9 23 24 41 59
07.10.2018,Питтсбург,37,Монреаль,11 15 23 34 50
07.10.2018,Сент-Луис,14 17 43 44,Чикаго,18 21 30 46 62
07.10.2018,Миннесота,9,Вегас,58 -1
07.10.2018,Аризона,,Анахайм,39
07.10.2018,Колорадо,1 12 27 56 58,Филадельфия,7 22
07.10.2018,Калгари,1 17 29 49 54 58 59,Ванкувер,13 16 22 36
08.10.2018,Каролина,9 14 29 39 45 50 51 59,Рейнджерс,1 6 22 31 44
08.10.2018,Чикаго,9 12 25 42 58 59,Торонто,14 14 23 27 49 58 61
08.10.2018,Лос-Анджелес,24 36 49 59,Детройт,28 56
08.10.2018,Бостон,1 17 27 44 56 58,Оттава,22 32 57
08.10.2018,Айлендерс,34 45 53 59,Сан-Хосе,
08.10.2018,Баффало,14 24 28 29,Вегас,27 50
09.10.2018,Анахайм,30 48 -1,Детройт,11 34
10.10.2018,Каролина,1 11 17 21 53,Ванкувер,6 21 23
10.10.2018,Филадельфия,24 58,Сан-Хосе,3 3 12 16 34 43 55 58
10.10.2018,Коламбус,6 10 45 51 58,Колорадо,23 29
10.10.2018,Виннипег,10 30,Лос-Анджелес,6
10.10.2018,Нэшвилл,,Калгари,16 25 41
10.10.2018,Даллас,17 29 38 42,Торонто,9 18 31 36 37 44 56
11.10.2018,Оттава,8 21 31 57,Филадельфия,14 23 26 35 44 52 59
11.10.2018,Вашингтон,19 30 45 50 58,Вегас,30 47
11.10.2018,Анахайм,5 34,Аризона,17 25 -1
12.10.2018,Питтсбург,8 29 35 36,Вегас,6 53
12.10.2018,Рейнджерс,13 57 61,Сан-Хосе,4 24
12.10.2018,Флорида,19 26 28 39,Коламбус,13 17 32 41 57
12.10.2018,Нью-Джерси,7 18 22 45 51 54,Вашингтон,
12.10.2018,Бостон,9 14 15 59,Эдмонтон,3
12.10.2018,Баффало,37,Колорадо,10 13 16 37 55 57
12.10.2018,Тампа-Бэй,16,Ванкувер,51 52 58 59
12.10.2018,Монреаль,,Лос-Анджелес,3 11 49
12.10.2018,Детройт,7 50 53,Торонто,15 22 27 51 59
12.10.2018,Миннесота,33 39 59 63,Чикаго,10 12 42
12.10.2018,Нэшвилл,23 47 54,Виннипег,
12.10.2018,Сент-Луис,7 9 17 24 39,Калгари,7 48 51
13.10.2018,Рейнджерс,12,Эдмонтон,14 46
13.10.2018,Филадельфия,,Вегас,58
13.10.2018,Оттава,6 11 16 30 51,Лос-Анджелес,35
13.10.2018,Бостон,19 24 31 36 42 50 55 59,Детройт,41 48
14.10.2018,Миннесота,16 41 45 55,Каролина,8 35 49 58 62
14.10.2018,Тампа-Бэй,1 11 18 39 41 47 53 59,Коламбус,28 35
14.10.2018,Монреаль,21 27 28 -1,Питтсбург,3 15 31
14.10.2018,Вашингтон,1 24,Торонто,23 38 46 58
14.10.2018,Флорида,32 37,Ванкувер,34 38 46
14.10.2018,Нэшвилл,15 16 19 44 59,Айлендерс,26 32
14.10.2018,Даллас,31 33 34 37 58,Анахайм,9 13 28
14.10.2018,Чикаго,11 16 53 64,Сент-Луис,32 41 44
14.10.2018,Аризона,,Баффало,2 18 56
14.10.2018,Колорадо,1 2,Калгари,30 58 61
14.10.2018,Нью-Джерси,27 41 43,Сан-Хосе,23 35
15.10.2018,Виннипег,44 57 59,Каролина,47
15.10.2018,Сент-Луис,31 35,Анахайм,18 47 54
16.10.2018,Оттава,39 41 50 58,Даллас,16
16.10.2018,Торонто,1 19 28 47,Лос-Анджелес,23
16.10.2018,Монреаль,7 16 19 23 24 35 58,Детройт,17 47 50
16.10.2018,Нэшвилл,6 23 32 59,Миннесота,13 35
17.10.2018,Нью-Джерси,3 22 36,Даллас,
17.10.2018,Питтсбург,6 56,Ванкувер,8 18 61
17.10.2018,Рейнджерс,12 30 -1,Колорадо,28 39
17.10.2018,Филадельфия,21 25 28 35 37 -1,Флорида,17 32 37 45 48
17.10.2018,Тампа-Бэй,12 26 47 58,Каролина,10 32
17.10.2018,Миннесота,23 46,Аризона,13
17.10.2018,Виннипег,4 7 13 21,Эдмонтон,12 41 42 53 61
17.10.2018,Вегас,18 22 50 59,Баффало,59
18.10.2018,Вашингтон,14 23 37 62,Рейнджерс,6 32 50
18.10.2018,Монреаль,1 27 59,Сент-Луис,23 56
18.10.2018,Калгари,5 15 16 23 59,Бостон,22 33
18.10.2018,Анахайм,19 28 41 59,Айлендерс,59
19.10.2018,Торонто,,Питтсбург,11 57 58
19.10.2018,Нью-Джерси,17 35 46,Колорадо,21 27 48 56 59
19.10.2018,Коламбус,17 21 24 28 55 57,Филадельфия,10 19 41
19.10.2018,Тампа-Бэй,7 35 58,Детройт,26
19.10.2018,Виннипег,18 44 52 54,Ванкувер,32
19.10.2018,Чикаго,26,Аризона,11 28 54 57
19.10.2018,Эдмонтон,33 47 61,Бостон,31 51
19.10.2018,Лос-Анджелес,14 42,Айлендерс,4 23 32 43 44 49 51
19.10.2018,Сан-Хосе,3 4 44 51 58,Баффало,21
20.10.2018,Вашингтон,15 21 28 33 58,Флорида,10 15 16 18 39 -1
20.10.2018,Даллас,41,Миннесота,49 52 59
20.10.2018,Калгари,18 32 42,Нэшвилл,1 24 34 46 59
20.10.2018,Филадельфия,10 38 56 58 59,Нью-Джерси,4 42
20.10.2018,Каролина,57,Колорадо,16 29 56
20.10.2018,Лос-Анджелес,52,Баффало,10 23 35 39 59
20.10.2018,Виннипег,19 34 37 45 59,Аризона,15 43 51
21.10.2018,Торонто,44,Сент-Луис,24 33 36 58
21.10.2018,Оттава,7 29 32 62,Монреаль,3 4 16
21.10.2018,Флорида,7 16 58,Детройт,25 26 27 63
21.10.2018,Коламбус,12,Чикаго,3 47 55 58
21.10.2018,Миннесота,13 23 50 53 63,Тампа-Бэй,2 10 15 55
21.10.2018,Эдмонтон,,Нэшвилл,33 34 59
21.10.2018,Вегас,19 29 59,Анахайм,41
21.10.2018,Ванкувер,3 63,Бостон,47
21.10.2018,Сан-Хосе,7 24 33 44,Айлендерс,19
22.10.2018,Рейнджерс,46,Калгари,17 32 34 58
22.10.2018,Чикаго,11 55 56,Тампа-Бэй,3 24 32 34 50 57
22.10.2018,Анахайм,16 33,Баффало,36 37 43 59
23.10.2018,Филадельфия,43,Колорадо,3 34 42 58
23.10.2018,Детройт,52,Каролина,18 28 59
23.10.2018,Виннипег,12 41 43 58 62,Сент-Луис,1 10 29 45
23.10.2018,Ванкувер,27 41,Вашингтон,2 29 39 45 58
24.10.2018,Коламбус,1,Аризона,7 12 21 44
24.10.2018,Рейнджерс,23 31 36 41 59,Флорида,18 50
24.10.2018,Монреаль,35 37 39,Калгари,16 51
24.10.2018,Оттава,37,Бостон,11 39 41 45
24.10.2018,Нэшвилл,11 21 30 39,Сан-Хосе,6 27 51 52 57
24.10.2018,Чикаго,5 47 59,Анахайм,30
24.10.2018,Даллас,5 28 34 44,Лос-Анджелес,34 37
24.10.2018,Эдмонтон,21 23 35 42 44,Питтсбург,10 27 30 39 46 62
25.10.2018,Виннипег,44 46,Торонто,14 22 31 48
25.10.2018,Айлендерс,18 31,Флорида,42 50 61
25.10.2018,Колорадо,,Тампа-Бэй,46
25.10.2018,Вегас,21 37,Ванкувер,24 25 -1
26.10.2018,Бостон,33 37 59,Филадельфия,
26.10.2018,Баффало,31 37 53 58,Монреаль,1 36 46
26.10.2018,Нью-Джерси,2 19 33,Нэшвилл,14 33 53 63
26.10.2018,Миннесота,15 34 59 59,Лос-Анджелес,43
26.10.2018,Сент-Луис,4 12 31 52,Коламбус,16 22 23 28 41 42 46
26.10.2018,Чикаго,2 30 55 58,Рейнджерс,4
26.10.2018,Даллас,4 11 24 31 38,Анахайм,8 23
26.10.2018,Эдмонтон,16 30 49 58,Вашингтон,32
26.10.2018,Калгари,58,Питтсбург,4 14 19 21 26 29 39 53 58
26.10.2018,Аризона,21 43 52 58,Ванкувер,22
27.10.2018,Вегас,5 41,Тампа-Бэй,3 16 24
27.10.2018,Детройт,15,Виннипег,36 53
27.10.2018,Каролина,21 30 35 -1,Сан-Хосе,6 8 25
27.10.2018,Колорадо,30 34 41 46 48 55,Оттава,2 10 30
27.10.2018,Нью-Джерси,19 23 33,Флорида,55 59
27.10.2018,Филадельфия,26,Айлендерс,11 13 24 48 48 51
27.10.2018,Нэшвилл,38 44 55,Эдмонтон,11 24 38 44 58
27.10.2018,Калгари,14 16 58,Вашингтон,9 14 37 -1
28.10.2018,Торонто,46 56 57,Виннипег,9 31
28.10.2018,Коламбус,8 21 36 37 61,Баффало,1 14 42 44
28.10.2018,Бостон,,Монреаль,9 10 59
28.10.2018,Миннесота,27 50 57,Колорадо,5 59
28.10.2018,Сент-Луис,1 5 21 25 55 58 59,Чикаго,3 18 36
28.10.2018,Аризона,6 8 12 28 31 48 52,Тампа-Бэй,49
28.10.2018,Ванкувер,,Питтсбург,25 36 54 55 57
28.10.2018,Лос-Анджелес,31 33 50 59,Рейнджерс,11 27 55
29.10.2018,Каролина,21,Айлендерс,3 34
29.10.2018,Детройт,24 44 49 59,Даллас,11 59
29.10.2018,Чикаго,11,Эдмонтон,18 61
29.10.2018,Анахайм,4 36 48,Сан-Хосе,2 22 24 62
29.10.2018,Вегас,35 38 48 62,Оттава,3 28 47
30.10.2018,Торонто,56,Калгари,45 46 59
30.10.2018,Ванкувер,7 25 26 46 59,Миннесота,7 34
31.10.2018,Баффало,16,Калгари,59 62
31.10.2018,Питтсбург,14 17 41,Айлендерс,10 12 29 31 33 49
31.10.2018,Каролина,17 38,Бостон,32 39 45
31.10.2018,Коламбус,42 49 51,Детройт,1 9 13 56 59
31.10.2018,Тампа-Бэй,7 13 21 26 28 43 45 45,Нью-Джерси,1 5 36
31.10.2018,Монреаль,42,Даллас,21 27 49 57
31.10.2018,Нэшвилл,31 32 46 57,Вегас,17
31.10.2018,Эдмонтон,8 24 33,Миннесота,14 32 38 54
31.10.2018,Аризона,4 6 15 28 50,Оттава,28
31.10.2018,Анахайм,21 57,Филадельфия,3 28 58
31.10.2018,Сан-Хосе,3 48 59,Рейнджерс,4 41 50 -1
01.11.2018,Ванкувер,15 32 49 56,Чикаго,6 21
01.11.2018,Флорида,24 37,Виннипег,18 35 43 59
02.11.2018,Айлендерс,34 50 -1,Питтсбург,6 52
02.11.2018,Торонто,56,Даллас,31 44
02.11.2018,Тампа-Бэй,34,Нэшвилл,6 19 56 57
02.11.2018,Детройт,7 44 52 59,Нью-Джерси,34 43 59
02.11.2018,Оттава,6 21 34 59,Баффало,41 43
02.11.2018,Монреаль,2 21 23 56 59 59,Вашингтон,6 26 27 32
02.11.2018,Сент-Луис,2 23 26 34 51,Вегас,6 23 48
02.11.2018,Эдмонтон,21 39 46 50,Чикаго,
02.11.2018,Калгари,26 41 45 50 53 54,Колорадо,23 25 31 36 58
02.11.2018,Анахайм,32 59,Рейнджерс,21 34 -1
02.11.2018,Лос-Анджелес,30 38,Филадельфия,17 30 34 54 56
02.11.2018,Сан-Хосе,11,Коламбус,16 29 38 58
02.11.2018,Виннипег,8 17,Флорида,14 24 39 52
03.11.2018,Ванкувер,1 25 28 37 50 59 64,Колорадо,21 26 30 32 41 58
03.11.2018,Аризона,13 15 16 61,Каролина,30 53 54
03.11.2018,Баффало,5 6 14 25 25 27 27 45 53,Оттава,26 54
04.11.2018,Питтсбург,,Торонто,9 21 31 55 59
04.11.2018,Вашингтон,21 32 47,Даллас,10 11 30 63
04.11.2018,Детройт,14 39 58,Эдмонтон,1 21 34 48
04.11.2018,Монреаль,1,Тампа-Бэй,13 16 41 55
04.11.2018,Айлендерс,7 55 59,Нью-Джерси,
04.11.2018,Нэшвилл,14,Бостон,
04.11.2018,Сент-Луис,11,Миннесота,4 5 18 35 49
04.11.2018,Калгари,4 38 53 55 59,Чикаго,13 19 32
04.11.2018,Вегас,14 22 43,Каролина,
04.11.2018,Сан-Хосе,3 30 55 61,Филадельфия,1 16 39
04.11.2018,Лос-Анджелес,12 30 47 48,Коламбус,41
05.11.2018,Оттава,4 14 55,Тампа-Бэй,21 43 59 61
05.11.2018,Рейнджерс,21 21 58,Баффало,46
05.11.2018,Анахайм,29 38 61,Коламбус,23 59
06.11.2018,Питтсбург,9,Нью-Джерси,2 12 27 39 41
06.11.2018,Бостон,5 64,Даллас,3
06.11.2018,Вашингтон,2 5 28 33,Эдмонтон,10 30
06.11.2018,Айлендерс,4 7 14,Монреаль,5 35 47 -1
06.11.2018,Аризона,21 54,Филадельфия,12 19 37 46 58
07.11.2018,Торонто,5 21 59,Вегас,31
07.11.2018,Рейнджерс,15 37 48 57 58,Монреаль,1 24 26
07.11.2018,Коламбус,19 31 37 58,Даллас,43
07.11.2018,Детройт,33 41 -1,Ванкувер,13 31
07.11.2018,Оттава,12 12 22 27 37 50 58,Нью-Джерси,3 11 54
07.11.2018,Тампа-Бэй,4 19 33 38 48,Эдмонтон,32 41
07.11.2018,Сент-Луис,11 14 19 56,Каролина,19
07.11.2018,Лос-Анджелес,6 13 24 57,Анахайм,33
07.11.2018,Сан-Хосе,4 25 37 47,Миннесота,32 41 43
08.11.2018,Вашингтон,27 58,Питтсбург,12
08.11.2018,Колорадо,27,Нэшвилл,13 17 39 57
08.11.2018,Анахайм,8 11 46,Калгари,17 46
09.11.2018,Филадельфия,1 5 42 57 61,Аризона,8 21 26 26
09.11.2018,Флорида,26 28 43 59,Эдмонтон,41
09.11.2018,Бостон,13 21 29 37 53,Ванкувер,2 27 28 33 34 39 49 51
09.11.2018,Тампа-Бэй,25 31 58 59,Айлендерс,3 48
09.11.2018,Оттава,37 46 48,Вегас,15 19 37 49 52
09.11.2018,Монреаль,9 14 16 30 38,Баффало,6 14 15 25 42 61
09.11.2018,Чикаго,24 30 43,Каролина,4 9 15 21
09.11.2018,Даллас,8 26 27 54,Сан-Хосе,14 31 47
09.11.2018,Лос-Анджелес,4,Миннесота,14 34 59
10.11.2018,Вашингтон,27,Коламбус,17 45
10.11.2018,Торонто,12 21 25 35 37 52,Нью-Джерси,27
10.11.2018,Детройт,41 57 64,Рейнджерс,37 38
10.11.2018,Виннипег,10 13 45 50 58,Колорадо,42 46
10.11.2018,Сент-Луис,14 25 33 52,Сан-Хосе,
10.11.2018,Анахайм,36,Миннесота,1 23 27 50 56
10.11.2018,Филадельфия,14 29 44 58,Чикаго,
10.11.2018,Баффало,4 57 58 -1,Ванкувер,38 39 43
10.11.2018,Даллас,13 26 34 48,Нэшвилл,21 41 41 59 62
11.11.2018,Коламбус,19 31 32 36,Рейнджерс,5 26 28 39 -1
11.11.2018,Монреаль,26 27 29 49 52,Вегас,17 18 34 43
11.11.2018,Питтсбург,26 28 39 47,Аризона,
11.11.2018,Бостон,16 25 30 54 54,Торонто,39
11.11.2018,Флорида,6 39 44 59,Айлендерс,7 28
11.11.2018,Каролина,16 28 37,Детройт,8 46 49 -1
11.11.2018,Тампа-Бэй,8 21 29 34,Оттава,4 7 41 48 50 59
11.11.2018,Лос-Анджелес,,Калгари,2
11.11.2018,Сент-Луис,19 29,Миннесота,21 21 47
12.11.2018,Вашингтон,32,Аризона,16 31 34 58
12.11.2018,Флорида,23 26 34 36 38,Оттава,18
12.11.2018,Виннипег,3 3 22 27 32,Нью-Джерси,7 23
12.11.2018,Бостон,2 17 21 56,Вегас,30
12.11.2018,Сан-Хосе,1 21 59,Калгари,26
12.11.2018,Эдмонтон,49,Колорадо,1 15 25 30
13.11.2018,Каролина,34 35 61,Чикаго,9 30
13.11.2018,Рейнджерс,32 51,Ванкувер,23
13.11.2018,Даллас,38,Коламбус,21 50
13.11.2018,Анахайм,39 -1,Нэшвилл,43
14.11.2018,Айлендерс,5 5 14 43 57,Ванкувер,2 22
14.11.2018,Филадельфия,43,Флорида,28 37
14.11.2018,Нью-Джерси,1 28 48 59,Питтсбург,13 44
14.11.2018,Детройт,10 12 17 31 41 47,Аризона,51
14.11.2018,Баффало,17 25,Тампа-Бэй,25
14.11.2018,Миннесота,31 54,Вашингтон,6 19 23 47 49
14.11.2018,Эдмонтон,3 16 23 45 52 58,Монреаль,5 21
14.11.2018,Лос-Анджелес,14,Торонто,2 6 21 24 27
14.11.2018,Сан-Хосе,5 7 16 53 53,Нэшвилл,24 25 37 42
15.11.2018,Чикаго,24,Сент-Луис,
15.11.2018,Виннипег,25 52 59,Вашингтон,13
15.11.2018,Колорадо,10 28 42 49 55 59,Бостон,16 19 23
15.11.2018,Вегас,17 21 27 29 45,Анахайм,
16.11.2018,Коламбус,21 23 26 44 48 52 54,Флорида,1 6 33
16.11.2018,Питтсбург,10 13 24,Тампа-Бэй,19 21 21 27
16.11.2018,Айлендерс,9 10 22 25 34 49 59,Рейнджерс,5 5 23 53 57
