Хозяева,Гости,1PHosts,2PHosts,3PHosts,OTHosts,SSHosts,1PGuests,2PGuests,3PGuests,OTGuests,SSGuests
Торонто,Монреаль,1,1,0,1,0,1,1,0,0,0
Вашингтон,Бостон,2,4,1,0,0,0,0,0,0,0
Ванкувер,Калгари,1,0,4,0,0,0,0,2,0,0
Сан-Хосе,Анахайм,1,1,0,0,0,1,1,3,0,0
Баффало,Бостон,0,0,0,0,0,2,1,1,0,0
Питтсбург,Вашингтон,2,3,1,1,0,3,1,2,0,0
Каролина,Айлендерс,0,0,1,0,0,0,1,0,1,0
Детройт,Коламбус,0,2,0,0,0,1,1,0,1,0
Оттава,Чикаго,3,0,0,0,0,2,0,1,1,0
Рейнджерс,Нэшвилл,0,1,1,0,0,0,1,2,0,0
Сент-Луис,Виннипег,0,0,1,0,0,1,0,4,0,0
Даллас,Аризона,0,3,0,0,0,0,0,0,0,0
Колорадо,Миннесота,1,1,2,0,0,1,0,0,0,0
Вегас,Филадельфия,1,0,1,0,0,2,3,0,0,0
Коламбус,Каролина,1,0,0,0,0,1,1,1,0,0
Лос-Анджелес,Сан-Хосе,1,1,0,0,0,2,0,0,1,0
Нью-Джерси,Эдмонтон,1,2,2,0,0,1,0,1,0,0
Даллас,Виннипег,2,1,2,0,0,0,1,0,0,0
Тампа-Бэй,Флорида,0,0,1,0,1,1,0,0,0,0
Баффало,Рейнджерс,1,1,1,0,0,0,0,1,0,0
Айлендерс,Нэшвилл,1,2,0,0,0,2,2,0,0,0
Торонто,Оттава,0,3,0,0,0,1,2,2,0,0
Питтсбург,Монреаль,0,1,0,0,0,2,2,1,0,0
Сент-Луис,Чикаго,2,0,2,0,0,1,2,1,1,0
Миннесота,Вегас,1,0,0,0,0,0,0,1,0,1
Аризона,Анахайм,0,0,0,0,0,0,1,0,0,0
Колорадо,Филадельфия,2,1,2,0,0,1,1,0,0,0
Калгари,Ванкувер,2,1,4,0,0,2,2,0,0,0
Каролина,Рейнджерс,2,2,4,0,0,2,2,1,0,0
Чикаго,Торонто,2,1,3,0,0,2,2,2,1,0
Лос-Анджелес,Детройт,0,2,2,0,0,0,1,1,0,0
Бостон,Оттава,2,1,3,0,0,0,2,1,0,0
Айлендерс,Сан-Хосе,0,1,3,0,0,0,0,0,0,0
Баффало,Вегас,1,3,0,0,0,0,1,1,0,0
Анахайм,Детройт,0,1,1,0,1,1,1,0,0,0
Каролина,Ванкувер,3,1,1,0,0,1,2,0,0,0
