DataTime,Hosts,Guests,1PHosts,2PHosts,3PHosts,OTHosts,SSHosts,CountHosts,1PGuests,2PGuests,3PGuests,OTGuests,SSGuests,CountGuests
04.10.2018,Торонто,Монреаль,1,1,0,1,0,3,1,1,0,0,0,2
04.10.2018,Вашингтон,Бостон,2,4,1,0,0,7,0,0,0,0,0,0
04.10.2018,Ванкувер,Калгари,1,0,4,0,0,5,0,0,2,0,0,2
04.10.2018,Сан-Хосе,Анахайм,1,1,0,0,0,2,1,1,3,0,0,5
05.10.2018,Баффало,Бостон,0,0,0,0,0,0,2,1,1,0,0,4
05.10.2018,Питтсбург,Вашингтон,2,3,1,1,0,7,3,1,2,0,0,6
05.10.2018,Каролина,Айлендерс,0,0,1,0,0,1,0,1,0,1,0,2
05.10.2018,Детройт,Коламбус,0,2,0,0,0,2,1,1,0,1,0,3
05.10.2018,Оттава,Чикаго,3,0,0,0,0,3,2,0,1,1,0,4
05.10.2018,Рейнджерс,Нэшвилл,0,1,1,0,0,2,0,1,2,0,0,3
05.10.2018,Сент-Луис,Виннипег,0,0,1,0,0,1,1,0,4,0,0,5
05.10.2018,Даллас,Аризона,0,3,0,0,0,3,0,0,0,0,0,0
05.10.2018,Колорадо,Миннесота,1,1,2,0,0,4,1,0,0,0,0,1
05.10.2018,Вегас,Филадельфия,1,0,1,0,0,2,2,3,0,0,0,5
06.10.2018,Коламбус,Каролина,1,0,0,0,0,1,1,1,1,0,0,3
06.10.2018,Лос-Анджелес,Сан-Хосе,1,1,0,0,0,2,2,0,0,1,0,3
06.10.2018,Нью-Джерси,Эдмонтон,1,2,2,0,0,5,1,0,1,0,0,2
07.10.2018,Даллас,Виннипег,2,1,2,0,0,5,0,1,0,0,0,1
07.10.2018,Тампа-Бэй,Флорида,0,0,1,0,1,2,1,0,0,0,0,1
07.10.2018,Баффало,Рейнджерс,1,1,1,0,0,3,0,0,1,0,0,1
07.10.2018,Айлендерс,Нэшвилл,1,2,0,0,0,3,2,2,0,0,0,4
07.10.2018,Торонто,Оттава,0,3,0,0,0,3,1,2,2,0,0,5
07.10.2018,Питтсбург,Монреаль,0,1,0,0,0,1,2,2,1,0,0,5
07.10.2018,Сент-Луис,Чикаго,2,0,2,0,0,4,1,2,1,1,0,5
07.10.2018,Миннесота,Вегас,1,0,0,0,0,1,0,0,1,0,1,2
07.10.2018,Аризона,Анахайм,0,0,0,0,0,0,0,1,0,0,0,1
07.10.2018,Колорадо,Филадельфия,2,1,2,0,0,5,1,1,0,0,0,2
07.10.2018,Калгари,Ванкувер,2,1,4,0,0,7,2,2,0,0,0,4
08.10.2018,Каролина,Рейнджерс,2,2,4,0,0,8,2,2,1,0,0,5
08.10.2018,Чикаго,Торонто,2,1,3,0,0,6,2,2,2,1,0,7
08.10.2018,Лос-Анджелес,Детройт,0,2,2,0,0,4,0,1,1,0,0,2
08.10.2018,Бостон,Оттава,2,1,3,0,0,6,0,2,1,0,0,3
08.10.2018,Айлендерс,Сан-Хосе,0,1,3,0,0,4,0,0,0,0,0,0
08.10.2018,Баффало,Вегас,1,3,0,0,0,4,0,1,1,0,0,2
09.10.2018,Анахайм,Детройт,0,1,1,0,1,3,1,1,0,0,0,2
10.10.2018,Каролина,Ванкувер,3,1,1,0,0,5,1,2,0,0,0,3
10.10.2018,Филадельфия,Сан-Хосе,0,1,1,0,0,2,4,1,3,0,0,8
10.10.2018,Коламбус,Колорадо,2,0,3,0,0,5,0,2,0,0,0,2
10.10.2018,Виннипег,Лос-Анджелес,1,1,0,0,0,2,1,0,0,0,0,1
10.10.2018,Нэшвилл,Калгари,0,0,0,0,0,0,1,1,1,0,0,3
10.10.2018,Даллас,Торонто,1,2,1,0,0,4,2,3,2,0,0,7
11.10.2018,Оттава,Филадельфия,1,2,1,0,0,4,1,3,3,0,0,7
11.10.2018,Вашингтон,Вегас,1,1,3,0,0,5,0,1,1,0,0,2
11.10.2018,Анахайм,Аризона,1,1,0,0,0,2,1,1,0,0,1,3
12.10.2018,Питтсбург,Вегас,1,3,0,0,0,4,1,0,1,0,0,2
12.10.2018,Рейнджерс,Сан-Хосе,1,0,1,1,0,3,1,1,0,0,0,2
12.10.2018,Флорида,Коламбус,1,3,0,0,0,4,2,1,2,0,0,5
12.10.2018,Нью-Джерси,Вашингтон,2,1,3,0,0,6,0,0,0,0,0,0
12.10.2018,Бостон,Эдмонтон,3,0,1,0,0,4,1,0,0,0,0,1
12.10.2018,Баффало,Колорадо,0,1,0,0,0,1,3,1,2,0,0,6
12.10.2018,Тампа-Бэй,Ванкувер,1,0,0,0,0,1,0,0,4,0,0,4
12.10.2018,Монреаль,Лос-Анджелес,0,0,0,0,0,0,2,0,1,0,0,3
12.10.2018,Детройт,Торонто,1,0,2,0,0,3,1,2,2,0,0,5
12.10.2018,Миннесота,Чикаго,0,2,1,1,0,4,2,0,1,0,0,3
12.10.2018,Нэшвилл,Виннипег,0,1,2,0,0,3,0,0,0,0,0,0
12.10.2018,Сент-Луис,Калгари,3,2,0,0,0,5,1,0,2,0,0,3
13.10.2018,Рейнджерс,Эдмонтон,1,0,0,0,0,1,1,0,1,0,0,2
13.10.2018,Филадельфия,Вегас,0,0,0,0,0,0,0,0,1,0,0,1
13.10.2018,Оттава,Лос-Анджелес,3,1,1,0,0,5,0,1,0,0,0,1
13.10.2018,Бостон,Детройт,1,3,4,0,0,8,0,0,2,0,0,2
14.10.2018,Миннесота,Каролина,1,0,3,0,0,4,1,1,2,1,0,5
14.10.2018,Тампа-Бэй,Коламбус,3,1,4,0,0,8,0,2,0,0,0,2
14.10.2018,Монреаль,Питтсбург,0,3,0,0,1,4,2,1,0,0,0,3
14.10.2018,Вашингтон,Торонто,1,1,0,0,0,2,0,2,2,0,0,4
14.10.2018,Флорида,Ванкувер,0,2,0,0,0,2,0,2,1,0,0,3
14.10.2018,Нэшвилл,Айлендерс,3,0,2,0,0,5,0,2,0,0,0,2
14.10.2018,Даллас,Анахайм,0,4,1,0,0,5,2,1,0,0,0,3
14.10.2018,Чикаго,Сент-Луис,2,0,1,1,0,4,0,1,2,0,0,3
14.10.2018,Аризона,Баффало,0,0,0,0,0,0,2,0,1,0,0,3
14.10.2018,Колорадо,Калгари,2,0,0,0,0,2,0,1,1,1,0,3
14.10.2018,Нью-Джерси,Сан-Хосе,0,1,2,0,0,3,0,2,0,0,0,2
15.10.2018,Виннипег,Каролина,0,0,3,0,0,3,0,0,1,0,0,1
15.10.2018,Сент-Луис,Анахайм,0,2,0,0,0,2,1,0,2,0,0,3
16.10.2018,Оттава,Даллас,0,1,3,0,0,4,1,0,0,0,0,1
16.10.2018,Торонто,Лос-Анджелес,2,1,1,0,0,4,0,1,0,0,0,1
16.10.2018,Монреаль,Детройт,3,3,1,0,0,7,1,0,2,0,0,3
16.10.2018,Нэшвилл,Миннесота,1,2,1,0,0,4,1,1,0,0,0,2
17.10.2018,Нью-Джерси,Даллас,1,2,0,0,0,3,0,0,0,0,0,0
17.10.2018,Питтсбург,Ванкувер,1,0,1,0,0,2,2,0,0,1,0,3
17.10.2018,Рейнджерс,Колорадо,1,1,0,0,1,3,0,2,0,0,0,2
17.10.2018,Филадельфия,Флорида,0,5,0,0,1,6,1,2,2,0,0,5
17.10.2018,Тампа-Бэй,Каролина,1,1,2,0,0,4,1,1,0,0,0,2
17.10.2018,Миннесота,Аризона,0,1,1,0,0,2,1,0,0,0,0,1
17.10.2018,Виннипег,Эдмонтон,3,1,0,0,0,4,1,0,3,1,0,5
17.10.2018,Вегас,Баффало,1,1,2,0,0,4,0,0,1,0,0,1
18.10.2018,Вашингтон,Рейнджерс,1,2,0,1,0,4,1,1,1,0,0,3
